省份,城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
黑龙江,地区待确认,2020-06-21 11:12:36,0,2,2,0,0,0
黑龙江,哈尔滨,2020-06-21 11:12:36,0,264,260,4,0,0
黑龙江,境外输入,2020-06-21 11:12:36,0,386,386,0,0,0
黑龙江,牡丹江,2020-06-21 11:12:36,0,25,25,0,0,0
黑龙江,大庆,2020-06-21 11:12:36,0,27,26,1,0,0
黑龙江,齐齐哈尔,2020-06-21 11:12:36,0,43,42,1,0,0
黑龙江,大兴安岭,2020-06-21 11:12:36,0,3,3,0,0,0
黑龙江,黑河,2020-06-21 11:12:36,0,14,14,0,0,0
黑龙江,双鸭山,2020-06-21 11:12:36,0,52,49,3,0,0
黑龙江,绥化,2020-06-21 11:12:36,0,47,43,4,0,0
黑龙江,鹤岗,2020-06-21 11:12:36,0,5,5,0,0,0
黑龙江,七台河,2020-06-21 11:12:36,0,17,17,0,0,0
黑龙江,鸡西,2020-06-21 11:12:36,0,46,46,0,0,0
黑龙江,伊春,2020-06-21 11:12:36,0,1,1,0,0,0
黑龙江,佳木斯,2020-06-21 11:12:36,0,15,15,0,0,0
安徽,境外输入,2020-06-21 11:12:36,0,1,1,0,0,0
安徽,黄山,2020-06-21 11:12:36,0,9,9,0,0,0
安徽,宣城,2020-06-21 11:12:36,0,6,6,0,0,0
安徽,池州,2020-06-21 11:12:36,0,17,17,0,0,0
安徽,亳州,2020-06-21 11:12:36,0,108,108,0,0,0
安徽,六安,2020-06-21 11:12:36,0,69,69,0,0,0
安徽,宿州,2020-06-21 11:12:36,0,41,41,0,0,0
安徽,阜阳,2020-06-21 11:12:36,0,155,155,0,0,0
安徽,滁州,2020-06-21 11:12:36,0,13,13,0,0,0
安徽,安庆,2020-06-21 11:12:36,0,83,83,0,0,0
安徽,铜陵,2020-06-21 11:12:36,0,29,29,0,0,0
安徽,淮北,2020-06-21 11:12:36,0,27,27,0,0,0
安徽,马鞍山,2020-06-21 11:12:36,0,38,38,0,0,0
安徽,淮南,2020-06-21 11:12:36,0,27,27,0,0,0
安徽,蚌埠,2020-06-21 11:12:36,0,160,155,5,0,0
安徽,芜湖,2020-06-21 11:12:36,0,34,34,0,0,0
安徽,合肥,2020-06-21 11:12:36,0,174,173,1,0,0
江苏,境外输入,2020-06-21 11:12:36,0,22,22,0,0,0
江苏,宿迁,2020-06-21 11:12:36,0,13,13,0,0,0
江苏,南通,2020-06-21 11:12:36,0,40,40,0,0,0
